RBD,NOM_RBD,COD_COM_RBD,COD_DEPE2,LATITUD,LONGITUD,MAT_TOTAL,ESTADO_ESTAB,ENS_01
8828,LICEO BICENTENARIO SIMON BOLIVAR,13114,1,-33.42619601,-70.55425887,1305,1,10
8832,ESC. DE EDUC. DIFERENCIAL PAUL HARRIS,13114,1,-33.41604199999999,-70.53347,146,1,212
8833,LICEO BICENTENARIO DE EXCELENCIA MARIA LUISA BOMBAL,13132,2,-33.38806398,-70.57974941,516,1,10
8835,LICEO BICENTENARIO SANTA MARIA DE LAS CONDES,13114,1,-33.42566016,-70.5316773,815,1,10
8837,ESCUELA DIFERENCIAL F N°254 MADRE TIERRA LO BARNECHEA,13115,1,-33.35347,-70.50785,132,1,212
8839,INSTITUTO FERMIN VIVACETA,13115,1,-33.36119,-70.504845,191,1,165
8840,ESCUELA DE FARELLONES,13115,1,-33.36686026999999,-70.49618093,100,1,10
8841,COLEGIO PARROQUIAL SANTA ROSA DE LO BARNECHEA,13115,2,-33.36166739,-70.5043675,1316,1,10
8845,COLEGIO SAN JUAN DE KRONSTADT,13115,2,-33.34946494999999,-70.47476664,73,1,110
8846,COLEGIO INMACULADA CONCEPCION,13132,3,-33.40279575999999,-70.59391824,795,1,10
8849,COLEGIO LA VIRGEN DE POMPEYA,13114,2,-33.40571652,-70.54043628,1135,1,10
8854,INSTITUTO PRESIDENTE ERRAZURIZ,13114,2,-33.41938174,-70.5888458,609,1,10
8860,COLEGIO ANGLO AMERICAN INTERNATIONAL SCHOOL,13115,3,-33.355781,-70.48153,150,1,110
8861,COLEGIO JOHN ANDREWS ADVENTIST ACADEMY,13114,3,-33.41051817,-70.57281574,360,1,10
8862,COLEGIO TABANCURA,13132,3,-33.380274,-70.53482,1099,1,110
8863,COLEGIO SCUOLA ITALIANA VITTORIO MONTIGLIO,13114,3,-33.39681499999999,-70.50497,1331,1,10
8867,COLEGIO SAN FRANCISCO DE ASIS,13114,3,-33.391903,-70.5098,864,1,10
8868,COLEGIO LA GIROUETTE,13114,3,-33.420519,-70.56871,555,1,10
8869,COLEGIO THE NEWLAND SCHOOL,13115,3,-33.359838,-70.53316,1065,1,10
8870,COLEGIO COMPANIA DE MARIA APOQUINDO,13114,3,-33.409827,-70.56657,1244,1,10
8871,COLEGIO LOS ANDES DE VITACURA,13132,3,-33.375508,-70.52658,948,1,10
8872,COLEGIO WENLOCK SCHOOL,13114,3,-33.41128899999999,-70.52214,802,1,10
8873,COLEGIO VILLA MARIA ACADEMY,13114,3,-33.420596,-70.58922,1636,1,10
8877,COLEGIO DE LOS SAGRADOS CORAZONES,13132,3,-33.37868199999999,-70.55175,1941,1,10
8878,COLEGIO DEL SAGRADO CORAZON DE APOQUINDO,13114,3,-33.410136,-70.54981,1042,1,10
8880,COLEGIO NIDO DE AGUILAS,13115,3,-33.351539,-70.50129,953,1,110
8885,COLEGIO REDLAND SCHOOL,13114,3,-33.401653,-70.52072,803,1,10
8888,COLEGIO DEL VERBO DIVINO,13114,3,-33.420121,-70.58665,1984,1,10
8892,COLEGIO SAN JUAN EVANGELISTA,13114,3,-33.414955,-70.56326,1202,1,10
8893,COLEGIO INTERNACIONAL SEK CHILE,13114,3,-33.403032,-70.56446,1574,1,10
8894,COLEGIO LA MAISONNETTE,13132,3,-33.38114,-70.57115,666,1,10
8895,COLEGIO DALCAHUE,13114,3,-33.425217,-70.58745,67,1,110
8900,COLEGIO SEMINARIO PONTIFICIO MENOR,13114,3,-33.406892,-70.55469,819,1,110
8902,COLEGIO CORDILLERA DE LAS CONDES,13114,3,-33.396259,-70.51437,757,1,110
8903,COLEGIO LINCOLN INTERNATIONAL ACADEMY,13115,3,-33.370274,-70.51083,620,1,10
8904,COLEGIO SANTA URSULA,13132,3,-33.393524,-70.59769,766,1,10
8905,COLEGIO EL CARMEN TERESIANO I,13132,3,-33.380059,-70.57058,182,1,110
